Factor1	Factor2	Factor3	Factor4	Factor5	Factor6	Factor7	Factor8	Factor9	Factor10	Factor11
social.eyecontact	0.108636711700625	0.429260161461916	0.0736042280657888	0.16433720013102	0.173625547849142	0.283508565627923	0.368545818624281	0.0500301567312067	0.301659055567176	-0.0381763748704244	-0.128098622470854
social.init_conv	0.285288660204466	0.151200791428525	-0.0289435206839306	0.237451728991233	0.163084265046393	0.192466639609384	0.378739381836824	0.147894628788235	0.338108492044959	-0.180035901940963	-0.0218841836263181
social.uncomf_interact	0.0323974051230925	0.119637050458256	0.107074734153412	0.0389679371269446	0.118121496800339	-0.0130980022728445	0.703969119460815	0.0786044624893153	0.154332058204711	0.134296205566726	0.17149347869437
social.socializes	0.381311018676308	0.149370635964458	0.0620354499358214	0.149553397572317	0.127181525619897	0.252699246357728	0.214960631829869	0.120662259526293	0.688414452324209	0.101279555475524	0.00453083283240657
social.friends	0.343444688968168	0.141850033058164	0.027517974779814	0.233548159256607	0.120511681955162	0.221937776751593	0.36140911534792	0.0736616308225119	0.43719311768642	0.00248607229641585	0.118601239599587
social.soc_distress	0.109637452718018	0.489362144491193	0.165456793158257	0.247460779351818	0.139601663978161	0.0147530760348988	0.233956659685885	0.332652367878461	0.100654694479423	0.214795143761551	0.0654177251208366
rrb.rep_movies_music	0.167088630843624	0.29204192030428	-0.0919331962187546	0.219484195810279	0.0383111055755721	0.344110404354806	0.0827352131213011	0.0789571219562744	0.0574444839166374	0.0407191302749117	0.201305460910866
rrb.stim	0.0940110816370937	0.0946858172643947	0.101034542793146	0.169263458797647	0.0848559798250205	0.668577100310804	-0.00392401159756238	0.0493593755037166	0.0793625295289891	0.084933870947454	0.0940771471359525
rrb.odd_beh	0.192068638047494	0.174606578946772	0.0410816590715778	0.130800390872707	0.126151818679199	0.609332242928077	0.125241637645495	0.1198063518034	0.115354760257919	0.0220056117607978	-0.00167971176566552
rrb.needs_order	0.107201154347723	0.580460022285881	0.145821127242129	0.130248050952961	0.131681303357202	0.422470030160074	0.150464126827296	0.00699977523620972	0.0805807349534959	-0.0668679173224707	0.039160088308934
rrb.mann_dis	0.208580149778432	0.400467010964343	0.238011128569503	0.28146744467119	0.133901828101776	0.206559764093192	0.122415994032798	0.212016427567448	0.207848748828386	-0.0718538148182945	0.0339855055986472
acad_abil.reading	0.784828468678866	-0.072894853026529	0.0362334537492429	-0.00351595024588436	0.0639258674686387	0.000260419049044384	0.0412782720567482	0.118153650516475	-0.0802477860266064	-0.00718088538298085	0.0419539818000634
acad_abil.writing	0.784612266267992	-0.00813057402484032	0.0607637031544024	0.127082891326772	0.0435566453265642	0.135235540958862	0.0993363873734499	0.0671456186673415	0.0394452597666922	0.0315432623340362	0.0119070886542986
acad_abil.math	0.756377377099458	-0.0338151208702928	0.00596401879541008	0.00754213209340578	-0.0136598880145652	0.025902879452668	-0.0296448924713307	0.0331906814956918	0.0727042921959496	0.0293438352978212	0.0651270374753831
acad_abil.learn_new	0.78704558135732	0.0843796607959384	0.0244262136406233	0.102744201141355	0.0682323020789141	0.244310478558392	0.0618289993575606	0.0465393970605181	0.10596972728163	0.0560536104346948	0.0777145284024835
language_level	0.34000450236104	0.0130433126968545	0.021675481377227	0.00847600202289824	0.0450168336181013	-0.000132824942474774	0.0560721562723271	-0.0791266660190562	0.150417994391074	0.0417985415466028	-0.0546323185987511
sensory.hugs	0.122277567022138	0.278145395102117	0.0307162093881349	0.000113774448411838	0.0805598639977079	0.113193982679465	0.428359007939202	-0.0150712657268847	0.0113037574638351	0.0459379788770433	-0.0261926696012751
sensory.dizzy	0.0384089382059009	0.25907960898817	0.00941187844590992	-0.0782907929707884	0.0850322927654857	-0.0267729232728027	-0.0426066813913623	0.0648255596508625	0.0563114046851781	0.48265928969997	-0.01251887924189
sensory.clothing_atypical_temp	-0.0390338246403092	0.367800285546281	0.126280653069027	0.17676421118472	0.108465266679446	0.219685764847514	0.1698069440874	0.0433369153616205	0.0212021693668231	0.159284074354533	0.0179346526676618
sensory.haircut	0.210185949698967	0.15483862030785	0.0864475149409429	0.40560752234301	0.0711193061570319	0.106721107499196	-0.0284708259547879	0.259956125598652	0.0451727785268677	-0.178346535562548	0.134692319682034
sensory.sound	0.139851719841321	0.414796323473385	0.0862448005696399	0.182387325731941	0.113614642675541	0.18839127034368	0.138295574921639	0.0570490930798881	-0.0051759463256059	-0.0393394170586601	0.730365155788984
sensory.light	-0.0252027084969946	0.488682927871574	0.133716803560146	0.138971358613882	0.112448351802688	0.0124120978333859	0.174435836894196	0.0888327089265483	0.035468982570403	0.178430424738199	0.243321620285929
sensory.odors	-0.0355109426227267	0.624433167339801	0.279942994287068	-0.0409266276109474	-0.0500752761572323	-0.0192314778844333	0.0718177111386461	-0.0431105295985636	0.025733639208385	0.26790016100844	0.110279194650833
sensory.tags	-0.126513620364567	0.500414751348961	0.0504563514389043	0.120174731374323	0.078749664201935	0.096697207971153	0.0325400065899189	0.022124199452405	0.0279833300239703	0.0652393844442214	0.0333144187353889
sensory.sensory_distress	0.0684385783552056	0.484510851792223	0.253481507425191	0.350132786129743	0.150013695903124	0.304482540855141	0.126618050447799	0.202220980211025	0.0810341617720579	0.0174689717938285	0.29314845987205
aggression.anger	0.0528585954971728	0.124983065422583	0.955457727985519	0.100508717247396	0.152096886797939	0.0604561937915891	0.0695451749791733	-0.0275342562403047	0.0657476679014346	0.114618015299542	0.0611632198256061
aggression.violence	0.0661081378577601	0.290620124092916	0.546578095855376	0.174646856324855	0.13267514734684	0.0623793267432323	0.056447684868176	0.215846879612953	-0.0436690073455785	-0.0161480033038301	-0.0258319868437148
aggression.aggression_social_impact	0.01999234648866	0.291277313581606	0.663546977525996	0.148042771508802	0.152739776172456	0.0612079896543695	0.0485476865841127	0.279705032322118	0.0287036947482718	0.189499572931071	0.0444736964746684
selfharm.cutting	0.0399612502657741	0.0877896535256216	0.234028842571607	-0.036872566863831	0.314675313322559	0.2450929412273	0.0672675047774155	0.419767700047605	0.129834163256014	0.0982396390519879	-0.00577246960063614
selfharm.hitting	0.0797972079977993	0.0858400715813288	0.136737585139275	0.0445166807780042	0.839045422030282	0.0929194156320606	0.00645431342477049	0.0318418929196209	0.159457526410837	0.183917748652878	0.118959324741668
selfharm.banging_head	0.080709625533302	0.0983643140038939	0.0572072894011838	0.00928984083647159	0.710204330944073	0.109534004196983	0.0749823738388481	0.0861172146046376	0.0622817277467203	0.0834091054885361	0.0316939900105285
selfharm.throwing_self	0.0449241126470596	0.15461978422824	0.153295501670128	0.0758151770822676	0.578524066220422	0.0367245503805624	0.263666375432701	0.127162598594042	-0.0926528967964781	-0.143902398932728	-0.0427580287557268
selfharm.self_harm_distressing	0.106432786375895	0.0671794956168564	0.348090824564494	0.0962327963590229	0.31019662766522	0.134478459760397	0.115580363014977	0.619005269662328	0.0372422212437534	0.327302403863639	0.0738413858425749
eating_GI.eatnorm	0.0403231858557427	0.135008750860189	0.0722995019980095	0.78025748123791	0.0716180308602578	0.21938166365473	-0.00713094360300005	-0.0537625095527567	0.128163547599298	0.0888873820192883	0.0522333380629941
eating_GI.eat_impact	0.0264518707357078	0.160373147149629	0.143686115344872	0.776786135922798	-0.000652129895615228	0.081364412885135	0.124052050892864	0.0083003102582088	0.00561541434467679	0.111847656767581	0.0158113953409944
eating_GI.constipated	0.0796142045454841	0.064522195902067	0.176597070353864	0.148202190928875	-0.00698658532687121	0.0723586534846902	0.092252041578043	0.0378866639693188	-0.0410081423075389	0.377408511334074	0.0243724870495585
eating_GI.GI_distress	0.0473416128156	0.0822622166363656	0.0445914561585574	0.19345448577674	0.22454628803309	0.195806523649666	0.232289180715935	0.114331386653188	0.0423596605675796	0.363375230557001	-0.0659285573132227
sleep_impact	0.120653246842898	0.124677686145741	0.182107451180766	0.27819199214405	-0.0321714599034629	0.115374526355405	0.0484484217758781	0.208607779770949	0.0985251425854149	0.0364789456156494	0.0884538242583001
